1,naly_bylka,Perso je suis très heureux d'être affiché dans le métro httptco,03/11/2015,je suis heureux,4
2,ElDjazaiiri,"Moi je suis heureux ",03/11/2015,je suis heureux,4
3,GreenTurtlenice,Je suis heureux quand un commerçant DIGNE DE CE NOM décide de se rendre POUR TOUS httpstco,03/11/2015,je suis heureux,4
4,ClaudeSiar,je ne comprends pas tout mais j'en suis sincèrement heureux pour vous,03/11/2015,je suis heureux,4
5,NejBrandalise,Je suis heureux d'être en demain ns travaillerons ensemble pr l'avenir de la Grande Région https,03/11/2015,je suis heureux,4
6,Mathieusmtorg,Il est parti d'ailleurs je suis trop heureux pour lui il était tellement content Babe,03/11/2015,je suis content,4
7,LeoBSoo,"je suis bien content d'être né dans la bonne période parce que là c'est parti en couilles ",03/11/2015,je suis content,4
8,xavierbocker,en plus je suis francoallemand alors quoiqu'il arrive pendant le match je serais content ôtéFoot,03/11/2015,je suis content,4
9,badbadHR,ouais perso je suis trop content que il est repris,03/11/2015,je suis content,4
10,swipse,merci je suis trop content la D,03/11/2015,je suis content,4
11,Noow_15,Le pire sentiment du monde c'est bien le manque,03/11/2015,c'est bien,0
12,lavina29546879,Chantal et Albert dans la maison c juste un vrai bonheur et voir qu'ils aiment bien Rémi j adore Notre trio est parf,03/11/2015,c'est bien,4
13,thibaultdepledt,Je crois que c'est la seule leçon de conduite ou j'ai pas envie d'aller tellement je suis pas bien,03/11/2015,c'est bien,0
14,ilonaesmenjaud,Les gens qui te disent de faire attention à toi quand tu sors et qui te demandent si t'es bien rentrée c'est eux les vrais,03/11/2015,c'est bien,4
15,_Lalycorne,C'est trop bien de pas avoir cours le matin,03/11/2015,c'est bien,4
16,Bruno_PL78,Mais c'est PAS DU TOUT abordable a fait chier de ouf j'aurais bien été le voir,03/11/2015,c'est bien,0
17,cubaintshims,"François Hollande préoccupé par le sort de JeanClaude Muyambo ",03/11/2015,hollande,2
18,CasYannPiat,"Climat François Hollande et Xi Jinping veulent le beurre et l'argent du beurre ",03/11/2015,hollande,2
19,RKaroutchi,La France s'effiloche en Europene compte plus au Proche Orients'isole de la Russieet Hollande fait la leçon étrangère à SarkozyOn rêve,03/11/2015,hollande,0
20,Hova_SC,"La petite blague de Hollande sur la liberté de la presse en Chine ",03/11/2015,hollande,2
